ablation,interpretation,mean_mean_success,mean_mean_mechanism_f1,mean_mean_invalid_repair_rate,mean_mean_repeat_failure_rate,mean_mean_damage_rate,mean_mean_diagnostic_probe_cost,mean_mean_calibration_error,mean_mean_abstention_rate,mean_mean_budget_violation_rate,mean_mean_predicted_breach_risk,mean_mean_realized_breach_risk,mean_mean_repair_utility,ci95_mean_success,ci95_mean_mechanism_f1,ci95_mean_invalid_repair_rate,ci95_mean_repeat_failure_rate,ci95_mean_damage_rate,ci95_mean_diagnostic_probe_cost,ci95_mean_calibration_error,ci95_mean_abstention_rate,ci95_mean_budget_violation_rate,ci95_mean_predicted_breach_risk,ci95_mean_realized_breach_risk,ci95_mean_repair_utility,rows
full_counterfactual_mechanism_audit,all v5 components,0.807031,0.705416,0.104804,0.094909,0.053240,0.194591,0.045359,0.145053,0.050899,0.091918,0.043795,0.676065,0.009728,0.000440,0.000159,0.000228,0.000078,0.000144,0.000092,0.000161,0.000156,0.000193,0.000234,0.009659,10
minus_active_probe_value,does not value diagnostic probes,0.785677,0.673374,0.104773,0.094901,0.053255,0.222529,0.045289,0.144926,0.051710,0.092623,0.044664,0.634999,0.011789,0.000194,0.000164,0.000220,0.000079,0.000098,0.000096,0.000131,0.000126,0.000166,0.000145,0.011837,10
minus_counterfactual_replay,removes counterfactual replay,0.773438,0.705412,0.104765,0.114741,0.053282,0.194647,0.045319,0.144978,0.050844,0.091852,0.043870,0.627047,0.014871,0.000468,0.000247,0.000098,0.000076,0.000123,0.000090,0.000074,0.000103,0.000091,0.000140,0.014739,10
minus_failed_rollout_traces,removes failed-rollout evidence,0.789583,0.655121,0.122802,0.094851,0.053242,0.194668,0.045353,0.144988,0.050813,0.091867,0.043704,0.625050,0.016386,0.000448,0.000250,0.000166,0.000091,0.000116,0.000132,0.000143,0.000142,0.000177,0.000199,0.016368,10
minus_repair_memory,forgets repaired mechanisms,0.770052,0.705293,0.104771,0.118935,0.053262,0.194598,0.045327,0.145082,0.050948,0.091931,0.043912,0.620289,0.012869,0.000376,0.000186,0.000122,0.000080,0.000157,0.000109,0.000127,0.000101,0.000119,0.000106,0.012770,10
minus_freshness_guard,permits stale repair memory,0.786198,0.705582,0.130890,0.112846,0.053310,0.194620,0.045346,0.145104,0.050889,0.091896,0.043859,0.617219,0.012513,0.000392,0.000077,0.000139,0.000120,0.000119,0.000069,0.000145,0.000181,0.000187,0.000260,0.012489,10
minus_budget_controller,removes probe-budget controller,0.796875,0.705589,0.108945,0.099863,0.058352,0.235771,0.049436,0.137305,0.119018,0.160943,0.120135,0.596324,0.009194,0.000247,0.000177,0.000205,0.000110,0.000129,0.000115,0.000099,0.000158,0.000201,0.000173,0.009314,10
minus_calibration_gate,removes calibrated abstention and lets ambiguous repairs proceed,0.769010,0.705702,0.116891,0.104777,0.053352,0.194503,0.075317,0.145043,0.072835,0.090354,0.070982,0.589019,0.013003,0.000340,0.000181,0.000140,0.000120,0.000100,0.000119,0.000124,0.000094,0.000132,0.000157,0.013133,10
minus_mechanism_taxonomy,collapses mechanism labels,0.744271,0.623606,0.104834,0.094906,0.053354,0.194676,0.045282,0.145003,0.050880,0.091860,0.043728,0.585382,0.012122,0.000179,0.000106,0.000146,0.000114,0.000160,0.000092,0.000100,0.000139,0.000196,0.000151,0.012115,10
scalar_risk_only_audit,keeps scalar risk only,0.694271,0.575690,0.161793,0.109401,0.053311,0.194663,0.045298,0.150658,0.051031,0.092038,0.043889,0.454196,0.014679,0.000417,0.000195,0.000184,0.000078,0.000119,0.000118,0.000091,0.000128,0.000131,0.000151,0.014692,10
