method,split,seed,mean_success,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,mean_abstention_rate,mean_budget_violation_rate,mean_predicted_breach_risk,mean_realized_breach_risk,mean_repair_utility,ci95_success,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,ci95_abstention_rate,ci95_budget_violation_rate,ci95_predicted_breach_risk,ci95_realized_breach_risk,ci95_repair_utility,rows
active_probe_planner,combined_stress,0,0.593750,0.526301,0.201404,0.194491,0.084044,0.310050,0.078889,0.115180,0.161789,0.188129,0.170328,0.085255,0.049188,0.003336,0.001624,0.001332,0.000488,0.000854,0.000495,0.000822,0.000926,0.001114,0.001029,0.049704,384
active_probe_planner,combined_stress,1,0.614583,0.527236,0.202005,0.195119,0.083875,0.310188,0.079276,0.114740,0.161343,0.187819,0.169764,0.105665,0.048743,0.003287,0.001651,0.001293,0.000498,0.000872,0.000479,0.000817,0.000914,0.001076,0.001001,0.049338,384
active_probe_planner,combined_stress,2,0.606771,0.527537,0.201716,0.194719,0.083735,0.310233,0.079062,0.115145,0.161497,0.187822,0.169753,0.098601,0.048921,0.003363,0.001615,0.001279,0.000506,0.000867,0.000460,0.000838,0.000891,0.001087,0.000985,0.049512,384
active_probe_planner,combined_stress,3,0.645833,0.527026,0.201508,0.194618,0.083809,0.310089,0.079074,0.114932,0.161791,0.188126,0.170009,0.137574,0.047898,0.003373,0.001610,0.001298,0.000520,0.000893,0.000486,0.000888,0.000919,0.001089,0.001030,0.048087,384
active_probe_planner,combined_stress,4,0.627604,0.527614,0.201639,0.194754,0.083606,0.309663,0.079071,0.114465,0.161683,0.188119,0.170164,0.119824,0.048417,0.003370,0.001595,0.001294,0.000489,0.000852,0.000479,0.000838,0.000925,0.001116,0.001038,0.049161,384
active_probe_planner,combined_stress,5,0.575521,0.527144,0.202473,0.194510,0.084116,0.310152,0.079324,0.115106,0.161831,0.188382,0.170545,0.065962,0.049501,0.003290,0.001630,0.001281,0.000518,0.000897,0.000487,0.000846,0.000891,0.001039,0.000994,0.050223,384
active_probe_planner,combined_stress,6,0.591146,0.526759,0.201948,0.194773,0.083593,0.310187,0.078891,0.114891,0.161390,0.187743,0.169717,0.082831,0.049237,0.003338,0.001554,0.001293,0.000505,0.000876,0.000482,0.000862,0.000904,0.001080,0.000992,0.049803,384
active_probe_planner,combined_stress,7,0.593750,0.527520,0.202087,0.194952,0.083743,0.310002,0.079287,0.115244,0.161240,0.187578,0.169637,0.085135,0.049188,0.003330,0.001634,0.001332,0.000510,0.000898,0.000488,0.000836,0.000910,0.001052,0.001009,0.050051,384
active_probe_planner,combined_stress,8,0.559896,0.527533,0.201431,0.194889,0.084019,0.310256,0.079109,0.114970,0.161249,0.187744,0.169559,0.051717,0.049715,0.003360,0.001600,0.001330,0.000500,0.000870,0.000471,0.000873,0.000918,0.001070,0.001001,0.050315,384
active_probe_planner,combined_stress,9,0.606771,0.527190,0.201952,0.195020,0.083671,0.309916,0.079253,0.115116,0.161503,0.187889,0.169709,0.098093,0.048921,0.003363,0.001596,0.001282,0.000524,0.000874,0.000491,0.000840,0.000920,0.001088,0.001032,0.049375,384
active_probe_planner,hidden_mechanism,0,0.651042,0.549167,0.180439,0.170038,0.074095,0.301979,0.069389,0.096813,0.145253,0.165829,0.152216,0.220937,0.047736,0.003637,0.001986,0.001514,0.000685,0.001040,0.000645,0.001164,0.001196,0.001458,0.001313,0.048079,384
active_probe_planner,hidden_mechanism,1,0.690104,0.548642,0.180892,0.169974,0.074160,0.301934,0.069264,0.096796,0.144668,0.164890,0.151702,0.259844,0.046315,0.003676,0.002007,0.001484,0.000702,0.001017,0.000669,0.001187,0.001241,0.001501,0.001347,0.047655,384
active_probe_planner,hidden_mechanism,2,0.575521,0.548453,0.180888,0.169652,0.074154,0.301988,0.069010,0.096976,0.145146,0.165514,0.151822,0.145237,0.049501,0.003802,0.001978,0.001482,0.000673,0.001011,0.000648,0.001173,0.001186,0.001438,0.001288,0.049984,384
active_probe_planner,hidden_mechanism,3,0.651042,0.547755,0.180599,0.169808,0.073956,0.302060,0.069249,0.096901,0.144825,0.165059,0.151633,0.220942,0.047736,0.003646,0.001956,0.001506,0.000676,0.001035,0.000661,0.001195,0.001198,0.001502,0.001300,0.048646,384
active_probe_planner,hidden_mechanism,4,0.638021,0.549041,0.180819,0.169501,0.074116,0.302381,0.069150,0.096623,0.144757,0.164968,0.151560,0.208284,0.048130,0.003602,0.002062,0.001468,0.000666,0.001043,0.000670,0.001211,0.001210,0.001514,0.001330,0.048887,384
active_probe_planner,hidden_mechanism,5,0.596354,0.547752,0.180856,0.169758,0.074202,0.301844,0.069125,0.096843,0.144757,0.164967,0.151306,0.165985,0.049137,0.003659,0.002029,0.001483,0.000684,0.001047,0.000648,0.001175,0.001225,0.001503,0.001336,0.050056,384
active_probe_planner,hidden_mechanism,6,0.658854,0.548651,0.181238,0.170003,0.074329,0.302332,0.068943,0.097072,0.144876,0.165008,0.151801,0.227945,0.047481,0.003786,0.002018,0.001432,0.000673,0.001025,0.000671,0.001156,0.001238,0.001519,0.001370,0.048495,384
active_probe_planner,hidden_mechanism,7,0.627604,0.548310,0.181339,0.169939,0.074385,0.302136,0.069186,0.097002,0.145299,0.165471,0.152135,0.196148,0.048417,0.003631,0.002028,0.001451,0.000673,0.001083,0.000644,0.001184,0.001215,0.001496,0.001321,0.049360,384
active_probe_planner,hidden_mechanism,8,0.609375,0.548023,0.181488,0.169587,0.074043,0.302174,0.069177,0.096832,0.144954,0.165149,0.151482,0.178565,0.048863,0.003749,0.002014,0.001509,0.000678,0.001001,0.000630,0.001179,0.001217,0.001508,0.001301,0.049992,384
active_probe_planner,hidden_mechanism,9,0.658854,0.548323,0.180527,0.169619,0.074245,0.302370,0.069099,0.096891,0.145095,0.165201,0.151707,0.228676,0.047481,0.003705,0.002006,0.001481,0.000713,0.001010,0.000668,0.001162,0.001240,0.001519,0.001362,0.048401,384
active_probe_planner,in_distribution,0,0.638021,0.561477,0.169424,0.157174,0.069090,0.297241,0.064226,0.087280,0.136464,0.153461,0.142231,0.249264,0.048130,0.003720,0.002036,0.001494,0.000680,0.001055,0.000660,0.001222,0.001245,0.001534,0.001370,0.049147,384
active_probe_planner,in_distribution,1,0.674479,0.561260,0.169499,0.157384,0.069200,0.297255,0.063840,0.087235,0.136251,0.152900,0.142155,0.285651,0.046928,0.003802,0.002080,0.001503,0.000695,0.001025,0.000664,0.001173,0.001202,0.001508,0.001310,0.047669,384
